field,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4
199,4.76957790666879,-27.6018022927867,5.12774755719408,-35.148659012425,356.110855636067,-35.1619487016381,356.445429350667,-27.6152046324762
200,12.5183679066688,-27.6018022927867,12.8765375571941,-35.148659012425,3.85964563606654,-35.1619487016381,4.19421935066707,-27.6152046324762
201,20.2671479066688,-27.6018022927867,20.6253175571941,-35.148659012425,11.6084256360665,-35.1619487016381,11.9429993506671,-27.6152046324762
202,28.0159379066688,-27.6018022927867,28.3741075571941,-35.148659012425,19.3572156360665,-35.1619487016381,19.6917893506671,-27.6152046324762
203,35.7647179066688,-27.6018022927867,36.1228875571941,-35.148659012425,27.1059956360665,-35.1619487016381,27.4405693506671,-27.6152046324762
204,43.5135079066688,-27.6018022927867,43.8716775571941,-35.148659012425,34.8547856360665,-35.1619487016381,35.1893593506671,-27.6152046324762
205,51.2622979066688,-27.6018022927867,51.6204675571941,-35.148659012425,42.6035756360665,-35.1619487016381,42.9381493506671,-27.6152046324762
206,59.0110779066688,-27.6018022927867,59.3692475571941,-35.148659012425,50.3523556360665,-35.1619487016381,50.6869293506671,-27.6152046324762
207,66.7598679066688,-27.6018022927867,67.1180375571941,-35.148659012425,58.1011456360665,-35.1619487016381,58.4357193506671,-27.6152046324762
208,74.5086479066688,-27.6018022927867,74.8668175571941,-35.148659012425,65.8499256360665,-35.1619487016381,66.1844993506671,-27.6152046324762
209,82.2574379066688,-27.6018022927867,82.6156075571941,-35.148659012425,73.5987156360665,-35.1619487016381,73.9332893506671,-27.6152046324762
210,90.0062179066688,-27.6018022927867,90.3643875571941,-35.148659012425,81.3474956360665,-35.1619487016381,81.6820693506671,-27.6152046324762
211,97.7550079066688,-27.6018022927867,98.1131775571941,-35.148659012425,89.0962856360665,-35.1619487016381,89.4308593506671,-27.6152046324762
212,105.503797906669,-27.6018022927867,105.861967557194,-35.148659012425,96.8450756360665,-35.1619487016381,97.1796493506671,-27.6152046324762
213,113.252577906669,-27.6018022927867,113.610747557194,-35.148659012425,104.593855636067,-35.1619487016381,104.928429350667,-27.6152046324762
214,121.001367906669,-27.6018022927867,121.359537557194,-35.148659012425,112.342645636067,-35.1619487016381,112.677219350667,-27.6152046324762
215,128.848927906669,-27.6018022927867,129.207097557194,-35.148659012425,120.190205636067,-35.1619487016381,120.524779350667,-27.6152046324762
216,136.795257906669,-27.6018022927867,137.153427557194,-35.148659012425,128.136535636067,-35.1619487016381,128.471109350667,-27.6152046324762
217,144.741587906669,-27.6018022927867,145.099757557194,-35.148659012425,136.082865636067,-35.1619487016381,136.417439350667,-27.6152046324762
218,152.687927906669,-27.6018022927867,153.046097557194,-35.148659012425,144.029205636067,-35.1619487016381,144.363779350667,-27.6152046324762
219,160.634257906669,-27.6018022927867,160.992427557194,-35.148659012425,151.975535636067,-35.1619487016381,152.310109350667,-27.6152046324762
220,168.580587906669,-27.6018022927867,168.938757557194,-35.148659012425,159.921865636067,-35.1619487016381,160.256439350667,-27.6152046324762
221,176.526927906669,-27.6018022927867,176.885097557194,-35.148659012425,167.868205636067,-35.1619487016381,168.202779350667,-27.6152046324762
222,184.473257906669,-27.6018022927867,184.831427557194,-35.148659012425,175.814535636067,-35.1619487016381,176.149109350667,-27.6152046324762
223,192.419587906669,-27.6018022927867,192.777757557194,-35.148659012425,183.760865636067,-35.1619487016381,184.095439350667,-27.6152046324762
224,200.365927906669,-27.6018022927867,200.724097557194,-35.148659012425,191.707205636067,-35.1619487016381,192.041779350667,-27.6152046324762
225,208.312257906669,-27.6018022927867,208.670427557194,-35.148659012425,199.653535636067,-35.1619487016381,199.988109350667,-27.6152046324762
226,216.258587906669,-27.6018022927867,216.616757557194,-35.148659012425,207.599865636067,-35.1619487016381,207.934439350667,-27.6152046324762
227,224.204927906669,-27.6018022927867,224.563097557194,-35.148659012425,215.546205636067,-35.1619487016381,215.880779350667,-27.6152046324762
228,232.151257906669,-27.6018022927867,232.509427557194,-35.148659012425,223.492535636067,-35.1619487016381,223.827109350667,-27.6152046324762
229,240.097587906669,-27.6018022927867,240.455757557194,-35.148659012425,231.438865636067,-35.1619487016381,231.773439350667,-27.6152046324762
230,248.043927906669,-27.6018022927867,248.402097557194,-35.148659012425,239.385205636067,-35.1619487016381,239.719779350667,-27.6152046324762
231,255.990257906669,-27.6018022927867,256.348427557194,-35.148659012425,247.331535636067,-35.1619487016381,247.666109350667,-27.6152046324762
232,263.936587906669,-27.6018022927867,264.294757557194,-35.148659012425,255.277865636067,-35.1619487016381,255.612439350667,-27.6152046324762
233,271.784147906669,-27.6018022927867,272.142317557194,-35.148659012425,263.125425636067,-35.1619487016381,263.459999350667,-27.6152046324762
234,279.532937906669,-27.6018022927867,279.891107557194,-35.148659012425,270.874215636067,-35.1619487016381,271.208789350667,-27.6152046324762
235,287.281717906669,-27.6018022927867,287.639887557194,-35.148659012425,278.622995636067,-35.1619487016381,278.957569350667,-27.6152046324762
236,295.030507906669,-27.6018022927867,295.388677557194,-35.148659012425,286.371785636067,-35.1619487016381,286.706359350667,-27.6152046324762
237,302.779297906669,-27.6018022927867,303.137467557194,-35.148659012425,294.120575636067,-35.1619487016381,294.455149350667,-27.6152046324762
238,310.528077906669,-27.6018022927867,310.886247557194,-35.148659012425,301.869355636067,-35.1619487016381,302.203929350667,-27.6152046324762
239,318.276867906669,-27.6018022927867,318.635037557194,-35.148659012425,309.618145636067,-35.1619487016381,309.952719350667,-27.6152046324762
